Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,"Trong câu: 'Mùa xuân, lịch sử thật đẹp.', từ 'lịch sử' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'lịch sử' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,đùm bọc | đùm bọc | đùm bọc | đùm bọc x,đùm bọc,'đùm bọc' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ông bà luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo từ 'anh chị em' vào ô thích hợp: Em rất yêu ___ của mình.,anh chị em | cục đá | bão táp,anh chị em,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,bạn bè | bạn bè | bạn bè | bạn bè x,bạn bè,'bạn bè' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,"Trong câu: 'Mùa xuân, chim chóc thật đẹp.', từ 'chim chóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chim chóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,"Trong câu: 'Mùa xuân, ông bà thật đẹp.', từ 'ông bà' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'ông bà' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong thầy cô luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo từ 'cha mẹ' vào ô thích hợp: Em rất yêu ___ của mình.,cha mẹ | cục đá | bão táp,cha mẹ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tiến bộ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo từ 'tự hào' vào ô thích hợp: Em rất yêu ___ của mình.,tự hào | cục đá | bão táp,tự hào,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,yêu thương | yêu thương | yêu thương | yêu thương x,yêu thương,'yêu thương' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,ngôi nhà chung | ngôi nhà chung | ngôi nhà chung | ngôi nhà chung x,ngôi nhà chung,'ngôi nhà chung' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,đùm bọc | đùm bọc | đùm bọc | đùm bọc x,đùm bọc,'đùm bọc' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong trong lành luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong biển cả luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,ông bà | ông bà | ông bà | ông bà x,ông bà,'ông bà' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,chim chóc | chim chóc | chim chóc | chim chóc x,chim chóc,'chim chóc' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm sóc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,"Trong câu: 'Mùa xuân, bạn bè thật đẹp.', từ 'bạn bè' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bạn bè' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,anh chị em | anh chị em | anh chị em | anh chị em x,anh chị em,'anh chị em' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,tự hào | tự hào | tự hào | tự hào x,tự hào,'tự hào' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,"Trong câu: 'Mùa xuân, mát mẻ thật đẹp.', từ 'mát mẻ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'mát mẻ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,học tập | học tập | học tập | học tập x,học tập,'học tập' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, bạn bè thật đẹp.', từ 'bạn bè' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bạn bè' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo từ 'đùm bọc' vào ô thích hợp: Em rất yêu ___ của mình.,đùm bọc | cục đá | bão táp,đùm bọc,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo từ 'anh chị em' vào ô thích hợp: Em rất yêu ___ của mình.,anh chị em | cục đá | bão táp,anh chị em,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,"Trong câu: 'Mùa xuân, bầu trời thật đẹp.', từ 'bầu trời' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bầu trời' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, bạn bè thật đẹp.', từ 'bạn bè' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bạn bè' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo từ 'bạn bè' vào ô thích hợp: Em rất yêu ___ của mình.,bạn bè | cục đá | bão táp,bạn bè,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong con người luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm chỉ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sân chơi luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,"Trong câu: 'Mùa xuân, truyền thống thật đẹp.', từ 'truyền thống' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'truyền thống' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo từ 'phát triển' vào ô thích hợp: Em rất yêu ___ của mình.,phát triển | cục đá | bão táp,phát triển,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong thầy cô luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, sân chơi thật đẹp.', từ 'sân chơi' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'sân chơi' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,"Trong câu: 'Mùa xuân, ngôi trường thật đẹp.', từ 'ngôi trường' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'ngôi trường' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo từ 'tự hào' vào ô thích hợp: Em rất yêu ___ của mình.,tự hào | cục đá | bão táp,tự hào,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,"Trong câu: 'Mùa xuân, quê hương thật đẹp.', từ 'quê hương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'quê hương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo từ 'chim chóc' vào ô thích hợp: Em rất yêu ___ của mình.,chim chóc | cục đá | bão táp,chim chóc,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo từ 'bạn bè' vào ô thích hợp: Em rất yêu ___ của mình.,bạn bè | cục đá | bão táp,bạn bè,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,biển cả | biển cả | biển cả | biển cả x,biển cả,'biển cả' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,"Trong câu: 'Mùa xuân, tiến bộ thật đẹp.', từ 'tiến bộ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'tiến bộ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tự hào luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,"Trong câu: 'Mùa xuân, phát triển thật đẹp.', từ 'phát triển' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'phát triển' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,"Trong câu: 'Mùa xuân, bầu trời thật đẹp.', từ 'bầu trời' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bầu trời' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo từ 'thầy cô' vào ô thích hợp: Em rất yêu ___ của mình.,thầy cô | cục đá | bão táp,thầy cô,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,yêu thương | yêu thương | yêu thương | yêu thương x,yêu thương,'yêu thương' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong núi non luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong biển cả luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong cha mẹ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,tự hào | tự hào | tự hào | tự hào x,tự hào,'tự hào' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo từ 'con người' vào ô thích hợp: Em rất yêu ___ của mình.,con người | cục đá | bão táp,con người,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo từ 'núi non' vào ô thích hợp: Em rất yêu ___ của mình.,núi non | cục đá | bão táp,núi non,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi nhà chung luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,"Trong câu: 'Mùa xuân, chăm sóc thật đẹp.', từ 'chăm sóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chăm sóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,"Trong câu: 'Mùa xuân, chim chóc thật đẹp.', từ 'chim chóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chim chóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,"Trong câu: 'Mùa xuân, yêu thương thật đẹp.', từ 'yêu thương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'yêu thương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, thầy cô thật đẹp.', từ 'thầy cô' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'thầy cô' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo từ 'yêu thương' vào ô thích hợp: Em rất yêu ___ của mình.,yêu thương | cục đá | bão táp,yêu thương,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi trường luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo từ 'ông bà' vào ô thích hợp: Em rất yêu ___ của mình.,ông bà | cục đá | bão táp,ông bà,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,sách vở | xách vở | sách vở | sách vở x,sách vở,'sách vở' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
