Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,Tính tổng: 8.2 + 2.7 =,11.0,10.4,10.9,11.9,10.9
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,fill_blank,Tìm 50% của 340 kg:,170,17,1700,50,170
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,fill_blank,Tìm 20% của 340 kg:,68,7,680,20,68
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 15cm, cao 10cm là:",300,37.5,150,75.0,75.0
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 9cm là:",234,117,29.25,58.5,58.5
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,comparison,So sánh: 1.4 x 10 ... 1.4 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,comparison,So sánh: 3.5 x 10 ... 3.5 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,true_false,Đúng hay sai: Lãi suất 50% của 100 000 đồng là 50000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,Tính tổng: 2.5 + 3.5 =,5.5,6.0,6.1,7.0,6.0
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,Tính tổng: 5.9 + 1.9 =,8.8,7.3,7.8,7.9,7.8
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,fill_blank,Tìm 50% của 130 kg:,65,6,650,50,65
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,fill_blank,Tìm 15% của 180 kg:,27,3,270,15,27
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 10cm là:",65.0,32.5,130,260,65.0
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 6cm, cao 4cm là:",24,6.0,12.0,48,12.0
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,comparison,So sánh: 9.8 x 10 ... 9.8 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,comparison,So sánh: 8.0 x 10 ... 8.0 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 9,5,end1,true_false,Đúng hay sai: Lãi suất 15% của 100 000 đồng là 15000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,Tính tổng: 1.0 + 2.5 =,3.5,4.5,3.0,3.6,3.5
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,Tính tổng: 5.6 + 2.4 =,8.1,9.0,7.5,8.0,8.0
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,fill_blank,Tìm 15% của 310 kg:,46,5,465,15,46
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,fill_blank,Tìm 50% của 950 kg:,475,48,4750,50,475
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 4cm là:",104,13.0,52,26.0,26.0
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 15cm, cao 7cm là:",52.5,26.25,210,105,52.5
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,comparison,So sánh: 2.0 x 10 ... 2.0 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,comparison,So sánh: 5.7 x 10 ... 5.7 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,true_false,Đúng hay sai: Lãi suất 15% của 100 000 đồng là 15000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 10,5,end1,true_false,Đúng hay sai: Lãi suất 25% của 100 000 đồng là 25000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,15.70,6.28,12.56,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,12.56,15.70,6.28,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 11cm, đáy bé 6cm, cao 4cm là:",34,264,68,,34
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 8cm, đáy bé 4cm, cao 4cm là:",48,128,24,,24
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 1,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,15.70,6.28,12.56,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 6cm là (pi=3.14):,37.68,18.84,40.82,113.04,37.68
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,fill_blank,Thể tích hình lập phương cạnh 6m là:,216,18,36,24,216
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 6cm, cao 4cm là:",36,288,72,,36
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 9cm, đáy bé 5cm, cao 4cm là:",56,180,28,,28
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 2,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 5cm là (pi=3.14):,31.40,15.70,78.50,34.54,31.40
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 6cm là (pi=3.14):,18.84,37.68,40.82,113.04,37.68
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 10cm, đáy bé 3cm, cao 4cm là:",26,52,120,,26
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 4cm, cao 4cm là:",32,192,64,,32
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 3,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 3cm là (pi=3.14):,28.26,18.84,9.42,21.98,18.84
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 3cm là (pi=3.14):,28.26,21.98,18.84,9.42,18.84
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 3cm, cao 4cm là:",144,30,60,,30
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 2cm, cao 4cm là:",56,96,28,,28
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 4,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 4cm là (pi=3.14):,12.56,28.26,25.12,50.24,25.12
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 4cm là (pi=3.14):,25.12,50.24,28.26,12.56,25.12
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,fill_blank,Thể tích hình lập phương cạnh 2m là:,8,6,4,,8
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,fill_blank,Thể tích hình lập phương cạnh 6m là:,216,18,36,24,216
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 11cm, đáy bé 4cm, cao 4cm là:",60,30,176,,30
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 5cm, đáy bé 2cm, cao 4cm là:",40,14,28,,14
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 5,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 5cm là (pi=3.14):,78.50,15.70,31.40,34.54,31.40
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,12.56,15.70,6.28,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,fill_blank,Thể tích hình lập phương cạnh 2m là:,8,6,4,,8
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 6cm, đáy bé 5cm, cao 4cm là:",44,22,120,,22
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 8cm, đáy bé 6cm, cao 4cm là:",56,28,192,,28
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 6,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,6.28,12.56,15.70,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,15.70,12.56,6.28,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,fill_blank,Thể tích hình lập phương cạnh 6m là:,216,18,36,24,216
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 8cm, đáy bé 3cm, cao 4cm là:",44,22,96,,22
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 5cm, cao 4cm là:",240,34,68,,34
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 7,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 6cm là (pi=3.14):,113.04,18.84,37.68,40.82,37.68
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 4cm là (pi=3.14):,28.26,25.12,12.56,50.24,25.12
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,fill_blank,Thể tích hình lập phương cạnh 2m là:,8,6,4,,8
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,fill_blank,Thể tích hình lập phương cạnh 6m là:,216,18,36,24,216
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 9cm, đáy bé 4cm, cao 4cm là:",52,26,144,,26
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 9cm, đáy bé 5cm, cao 4cm là:",28,56,180,,28
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 8,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 6cm là (pi=3.14):,113.04,37.68,18.84,40.82,37.68
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 5cm là (pi=3.14):,31.40,34.54,15.70,78.50,31.40
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,fill_blank,Thể tích hình lập phương cạnh 4m là:,64,12,16,,64
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 4cm, đáy bé 6cm, cao 4cm là:",96,40,20,,20
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 6cm, cao 4cm là:",72,288,36,,36
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 9,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,6.28,15.70,12.56,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,multiple_choice,Chu vi hình tròn có bán kính 2cm là (pi=3.14):,12.56,6.28,15.70,,12.56
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,fill_blank,Thể tích hình lập phương cạnh 5m là:,125,15,25,20,125
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,fill_blank,Thể tích hình lập phương cạnh 6m là:,216,18,36,24,216
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 12cm, đáy bé 6cm, cao 4cm là:",72,36,288,,36
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,multiple_choice,"Diện tích hình thang có đáy lớn 8cm, đáy bé 3cm, cao 4cm là:",96,44,22,,22
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,comparison,So sánh thể tích: 1m³ ... 1000dm³,>,<,=,,=
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID2 - Đề 10,5,mid2,true_false,Đúng hay sai: Biểu đồ hình quạt tròn thể hiện tỉ số phần trăm.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,multiple_choice,Một ô tô đi với vận tốc 34 km/h trong 5 giờ. Quãng đường đi được là:,180,6.8,39,170,170
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,multiple_choice,Một ô tô đi với vận tốc 41 km/h trong 5 giờ. Quãng đường đi được là:,8.2,215,205,46,205
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,fill_blank,Người đi bộ đi được 15 km trong 3 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,fill_blank,Người đi bộ đi được 15 km trong 3 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 196km, tổng vận tốc 49km/h. Thời gian gặp nhau là:",3,2,5,4,4
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 192km, tổng vận tốc 48km/h. Thời gian gặp nhau là:",3,4,2,5,4
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 1,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,multiple_choice,Một ô tô đi với vận tốc 46 km/h trong 3 giờ. Quãng đường đi được là:,15.3,138,148,49,138
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,multiple_choice,Một ô tô đi với vận tốc 39 km/h trong 2 giờ. Quãng đường đi được là:,19.5,41,88,78,78
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,fill_blank,Người đi bộ đi được 10 km trong 2 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 128km, tổng vận tốc 32km/h. Thời gian gặp nhau là:",2,4,5,3,4
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 152km, tổng vận tốc 38km/h. Thời gian gặp nhau là:",4,3,5,2,4
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 2,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,multiple_choice,Một ô tô đi với vận tốc 47 km/h trong 4 giờ. Quãng đường đi được là:,198,11.8,188,51,188
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,multiple_choice,Một ô tô đi với vận tốc 36 km/h trong 4 giờ. Quãng đường đi được là:,154,9.0,40,144,144
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,fill_blank,Người đi bộ đi được 15 km trong 3 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 144km, tổng vận tốc 36km/h. Thời gian gặp nhau là:",5,4,2,3,4
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 200km, tổng vận tốc 50km/h. Thời gian gặp nhau là:",2,4,5,3,4
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 3,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,multiple_choice,Một ô tô đi với vận tốc 38 km/h trong 5 giờ. Quãng đường đi được là:,43,190,7.6,200,190
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,multiple_choice,Một ô tô đi với vận tốc 36 km/h trong 4 giờ. Quãng đường đi được là:,154,9.0,40,144,144
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,fill_blank,Người đi bộ đi được 20 km trong 4 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 156km, tổng vận tốc 39km/h. Thời gian gặp nhau là:",3,2,5,4,4
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 172km, tổng vận tốc 43km/h. Thời gian gặp nhau là:",5,4,3,2,4
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 4,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
